,date,sigma,std_sigma,precip,LAI,rzsm,psi_rz,ssm,psi_s,lc_type,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt
2019,2017-05-12 13:23:00,-12.029423,7.0264635,0.0,0.9,26.0,0.6074364234960076,25.839999999999996,0.6296353049786533,11,0.04475,0.05305,0.07900000000000001,0.08270000000000001,0.22535000000000002,0.23625000000000004,0.1524,0.02008406832298107,0.033064751552794557,0.06347173913043386,0.0744311801242225,0.21019102484471738,0.2707657453416109,0.18247173913043208
2019,2017-05-24 13:23:00,-11.44678,6.664243,0.0,0.7000000000000001,26.22,0.5783928433776767,24.68,0.8223879236824418,11,0.04845000000000001,0.061200000000000004,0.09367500000000001,0.10042500000000001,0.261575,0.267125,0.17635,0.029839161490682803,0.04263114906832235,0.07441040372670699,0.08508065217391178,0.23356295031055557,0.2807358385093126,0.18675804347825808
2019,2017-05-29 13:31:00,-14.345912,8.374878,0.0,0.7000000000000001,26.339999999999996,0.5632379367252495,24.22,0.9174631746380408,11,0.04845000000000001,0.061200000000000004,0.09367500000000001,0.10042500000000001,0.261575,0.267125,0.17635,0.029839161490682803,0.04263114906832235,0.07441040372670699,0.08508065217391178,0.23356295031055557,0.2807358385093126,0.18675804347825808
2019,2017-06-10 13:31:00,-16.5611,9.607769,0.0,0.7000000000000001,24.840000000000003,0.7920601650868057,24.0,0.9674569618910039,11,0.0488,0.05925000000000001,0.08955000000000002,0.10115,0.2538,0.27499999999999997,0.17985,0.047713832298135944,0.06146728571428481,0.09419103726707935,0.10587837888198602,0.2580421055900583,0.2888312919254616,0.19042791925465558
2019,2017-06-22 13:31:00,-13.74448,7.960415,0.0,0.7000000000000001,24.560000000000002,0.8460289336815043,27.28,0.45934855916022443,11,0.052175,0.06675,0.10122500000000001,0.113025,0.2797,0.29505,0.19325000000000003,0.05353822981366381,0.06758378881987478,0.10100419254658236,0.114357484472048,0.26683695652173517,0.2929394409937845,0.19220701863353756
2019,2017-06-29 13:23:00,-13.403293,7.7985024,0.0,0.8,23.96,0.9768862063634691,24.080000000000002,0.9489165659013336,11,0.05555,0.07425,0.11290000000000001,0.1249,0.3056,0.3151,0.20665000000000003,0.05455406832298056,0.06923835403726607,0.1035375465838494,0.11919059006211004,0.27043338509316367,0.29777639751552354,0.19450326086956238
2019,2017-07-04 13:31:00,-13.223618,7.7031217,0.0,0.8,23.360000000000003,1.1321052759211296,24.08,0.9489165659013341,11,0.05645000000000001,0.07275000000000001,0.10495000000000002,0.12194999999999999,0.26165,0.30385,0.19895000000000002,0.055983343685299385,0.07120865424430536,0.10629713250517442,0.12472916149068139,0.27244919254657984,0.3038907246376767,0.19860726708074242
2019,2017-07-16 13:31:00,-15.283352,8.873888,0.0,0.5,21.48,1.8440203243600277,23.660000000000004,1.051144399169994,11,0.056049999999999996,0.07010000000000001,0.1035,0.1262,0.25020000000000003,0.31335,0.20865,0.02544004140786712,0.04246271221532029,0.08230109730848739,0.10395183229813512,0.25244263975154907,0.32174778467908427,0.21049919254658073
2019,2017-07-23 13:23:00,-12.080377,7.205276,0.0,0.30000000000000004,21.14,2.0232865329776604,23.38,1.1264856880214802,11,0.0628,0.08005,0.11674999999999999,0.14415000000000003,0.26595,0.32280000000000003,0.21439999999999998,0.012940354037266903,0.031082161490682776,0.07308044099378774,0.09797153416148924,0.2423104472049654,0.33178078260869076,0.21789468322981043
2019,2017-07-28 13:31:00,-15.265852,8.858959,0.0,0.30000000000000004,21.1,2.0456914648865188,23.359999999999996,1.132105275921132,11,0.06055000000000001,0.0767,0.1127,0.1428,0.25425000000000003,0.31870000000000004,0.21045000000000003,0.01562536231884037,0.034266604554864924,0.07627356107660344,0.10400198757763823,0.24077450310558654,0.3343129606625209,0.220660962732916
