,site,precip,rzsm,psi_rz,ssm,psi_s,lc_type,vv,hv,B1,B2,B3,B4,B5,B6,B7,B1_filt,B2_filt,B3_filt,B4_filt,B5_filt,B6_filt,B7_filt,ndvi,ndmi,evi,id,elev,clay_fract,silt_fract,sand_fract,a,b,ws
2018-02-08,2215.0,0.0,2.4200000000000004,4511072.161613153,7.880000000000001,2115.7481229334358,11.0,-15.189485999999997,-24.848258666666666,0.033827272727272734,0.04888181818181818,0.0711909090909091,0.08440909090909092,0.14852727272727273,0.14365454545454545,0.10996363636363636,0.0315943559143562,0.04524568269568311,0.06534471042471103,0.07707019305019376,0.13758569673569798,0.1324128711828724,0.0997605335205344,0.2819186733979922,0.01915871477653789,0.12000717957660899,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.8464104583789682
2018-03-28,2215.0,0.0,2.8600000000000003,1524891.0726684816,11.2,215.824292504084,11.0,-16.180999666666665,-20.921673,0.04078181818181818,0.05759545454545455,0.08432272727272727,0.10097727272727276,0.17528181818181818,0.18276363636363635,0.14089090909090907,0.041151309231309614,0.05542232186732236,0.07930923130923204,0.09337265356265442,0.16711153562653713,0.17502007546507706,0.1353008424008436,0.283083907293604,-0.023115490010720517,0.14054281464740687,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,5.063649271025702
2018-04-09,2215.0,0.0,3.18,765920.2774295661,21.62,3.0169988925799345,11.0,-13.736737499999998,-20.317942,0.04605,0.0602,0.08655,0.10315,0.18245,0.19545,0.1506,0.046799464139464564,0.0608206803556809,0.08604758979759057,0.10135103194103287,0.18202203170703332,0.1995202123552142,0.15508558675558815,0.28468125631795904,-0.045861712354257934,0.15118557959499565,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,8.013764923073623
2018-04-21,2215.0,0.0,3.34,556885.6406121161,19.040000000000006,6.884817811933291,11.0,-15.004524666666669,-21.354524333333334,0.04605,0.0602,0.08655,0.10315,0.18245,0.19545,0.1506,0.046799464139464564,0.0608206803556809,0.08604758979759057,0.10135103194103287,0.18202203170703332,0.1995202123552142,0.15508558675558815,0.28468125631795904,-0.045861712354257934,0.15118557959499565,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,8.163765597334686
2018-05-03,2215.0,0.0,2.96,1219923.7202210831,16.98,14.479834543774546,11.0,-11.745138499999998,-20.079992,0.0223,0.029675,0.04375,0.0497,0.095275,0.107575,0.07665,0.05167236106236154,0.06505886685386744,0.09106563589563674,0.10743142155142256,0.1946708886158904,0.22083343102843306,0.17185527670527828,0.2887745777784755,-0.06296575312366931,0.16139700731768838,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,7.674253415551897
2018-06-08,2215.0,0.0,3.64,318593.02507409785,13.26,72.11551357420625,11.0,-15.535355999999998,-21.498735999999997,0.0639,0.07525000000000001,0.10325,0.12185,0.2254,0.2736,0.22265,0.059163780273780824,0.07113427342927409,0.09737648297648388,0.1157940891540902,0.2115213355563375,0.2523962951912975,0.19724598806598986,0.2924617637159511,-0.08810822638727314,0.17433115412374084,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,6.231205569455575
2018-06-20,2215.0,0.0,4.04,161902.06863002435,7.540000000000001,2817.270094991466,11.0,-12.218542,-20.17699466666667,0.06545000000000001,0.07794999999999999,0.1069,0.12675,0.2378,0.28285000000000005,0.2236,0.05759637161364488,0.06880317415999296,0.09499576661667658,0.11421964580873778,0.2125266401289148,0.2621065954561433,0.20496774530138356,0.300866447611084,-0.10445951022817354,0.17785772368195366,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.5923095088575545
2018-07-14,2215.0,0.0,3.78,249356.20997918642,6.380000000000001,8334.305921944511,11.0,-14.089926666666665,-22.136340333333333,0.06415,0.07345,0.0968,0.1166,0.22485,0.27445,0.20655,0.03285764797855735,0.0445116294393571,0.07241520661157089,0.09361871406235124,0.19298590350681435,0.2672664595232801,0.20809971202016847,0.3467047749866872,-0.16139092807136501,0.1748362291355469,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,3.930986435857104
2018-07-26,2215.0,0.0,3.7,286507.9921241049,6.6400000000000015,6430.430743150867,11.0,-14.78678,-20.622142999999998,0.06415,0.07345,0.0968,0.1166,0.22485,0.27445,0.20655,0.03285764797855735,0.0445116294393571,0.07241520661157089,0.09361871406235124,0.19298590350681435,0.2672664595232801,0.20809971202016847,0.3467047749866872,-0.16139092807136501,0.1748362291355469,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.461763827539864
2018-08-07,2215.0,0.0,3.7,286507.9921241049,6.5200000000000005,7238.764243234797,11.0,-14.709685333333333,-20.013863666666666,0.07135,0.0796,0.10075,0.1186,0.21365,0.26645,0.21115,0.033622697597243345,0.04511118685982361,0.07145975366157248,0.09229212770031034,0.18807258878713595,0.25701737659146984,0.19940660151887607,0.3416280846135441,-0.1549007912269771,0.17061105154081713,2215.0,7825.0,30.0,34.0,36.0,0.00014490155169,-6.4925792,4.078773086793884
