date,sigma,std_sigma,precip,LAI,rzsm,psi_rz,ssm,psi_s,B1,B4,B5
2016-07-26 13:40:00,-13.921244,8.08965,0.0,0.30000000000000004,6.4799999999999995,84.31120550362493,39.0,0.11603699728364017,0.08165,0.2631,0.3979500000000001
2016-08-14 13:32:00,-14.24082,8.231516,0.0,0.30000000000000004,7.12,59.66704129345392,29.820000000000004,0.3107739351740975,0.08165,0.2631,0.3979500000000001
2016-08-19 13:40:00,-5.8659573,3.4627626,0.0,0.2,7.340000000000001,53.36076062315194,28.82,0.3522259985548449,0.08020000000000001,0.2535,0.37270000000000003
2016-09-12 13:40:00,-10.525292,6.137942,0.0,0.2,7.640000000000001,46.0639719103153,27.639999999999997,0.41064523744680875,0.0634,0.14600000000000002,0.20695000000000002
2016-11-06 13:32:00,-13.935482,8.181416,0.0,0.2,6.36,90.29918046888682,39.7,0.1087018310824016,0.0634,0.14600000000000002,0.20695000000000002
2016-11-11 13:40:00,-19.273582,11.234927,0.0,0.1,6.540000000000001,81.50651952531595,39.1,0.1149513532378219,0.0634,0.14600000000000002,0.20695000000000002
2016-12-05 13:40:00,-15.836457,9.15823,0.0,0.1,6.4399999999999995,86.24945829642496,37.339999999999996,0.13612486996852935,0.0634,0.14600000000000002,0.20695000000000002
2016-12-24 13:32:00,-12.171118,7.0422025,0.0,0.1,6.4799999999999995,84.31120550362493,28.459999999999997,0.3688588187152891,0.0634,0.14600000000000002,0.20695000000000002
2016-12-29 13:40:00,-13.685181,8.065251,0.0,0.2,6.42,87.23985402039392,28.26,0.37853202538669933,0.0634,0.14600000000000002,0.20695000000000002
2017-01-10 13:40:00,-12.975498,7.618863,0.0,0.0,7.3199999999999985,53.89788684205756,26.76,0.4624315991521728,0.0634,0.14600000000000002,0.20695000000000002
2017-01-17 13:32:00,-14.131604,8.214032,0.0,0.1,8.16,36.17349812975301,25.419999999999998,0.5583973565615197,0.0634,0.14600000000000002,0.20695000000000002
2017-02-03 13:40:00,-14.526113,8.392637,0.0,0.0,8.52,30.87212763949348,26.359999999999996,0.4887160467753201,0.07395,0.14870000000000003,0.20639999999999997
2017-02-22 13:32:00,-11.083944,6.4141726,0.0,0.1,8.0,38.900872276548846,29.74,0.31385360772457316,0.07395,0.14870000000000003,0.20639999999999997
2017-02-27 13:40:00,-12.306412,7.280681,0.0,0.1,7.539999999999999,48.34652843880385,30.919999999999998,0.2720804703829308,0.07395,0.14870000000000003,0.20639999999999997
2017-03-05 13:39:00,-12.453231,7.3406973,0.0,0.1,7.239999999999999,56.11646542987346,30.6,0.28267142141109514,0.07395,0.14870000000000003,0.20639999999999997
2017-03-06 13:32:00,-12.437041,7.2233796,0.0,0.1,7.18,57.85711069948217,30.8,0.2759919205281464,0.07395,0.14870000000000003,0.20639999999999997
2017-03-17 13:39:00,-14.817507,8.795358,0.0,0.1,6.039999999999999,109.13951575939481,39.4,0.11177103193469842,0.07395,0.14870000000000003,0.20639999999999997
2017-05-04 13:39:00,-13.538582,7.929077,0.014882353070539003,0.5,7.4,51.78972333056487,41.04,0.09623136441365795,0.07395,0.14870000000000003,0.20639999999999997
2017-05-05 13:32:00,-15.355087,8.9223175,0.0,0.5,7.3,54.44191156752119,41.2,0.09486666306155588,0.07395,0.14870000000000003,0.20639999999999997
2017-05-28 13:39:00,-13.455738,7.8182826,0.0,0.8,8.14,36.50081771807176,39.92,0.10651898871944976,0.08145000000000001,0.16705,0.23575000000000002
2017-05-29 13:32:00,-13.564888,7.8444777,0.0,0.8,8.02,38.54596107543013,39.12,0.11473577739137632,0.08145000000000001,0.16705,0.23575000000000002
2017-06-10 13:32:00,-8.580497,4.971887,0.0,0.8,9.64,19.619073267448858,30.279999999999994,0.293792553278064,0.08145000000000001,0.16705,0.23575000000000002
2017-06-22 13:32:00,-14.751577,8.561499,0.0,1.1,11.16,11.462194284774386,36.82000000000001,0.14331581310619607,0.08045,0.1497,0.20865
2017-07-03 13:39:00,-15.000918,8.716627,0.0,0.7000000000000001,11.16,11.462194284774386,30.0,0.3039840056690311,0.08045,0.1497,0.20865
2017-07-04 13:32:00,-14.452759,8.366477,0.0,0.7000000000000001,11.02,12.005848549491194,29.580000000000002,0.3201303652775028,0.08045,0.1497,0.20865
2017-07-15 13:39:00,-14.372263,8.301309,0.0,0.5,8.94,25.873555533232707,26.02,0.5125692414651994,0.08045,0.1497,0.20865
2017-07-16 13:32:00,-15.348711,8.865511,0.0,0.5,8.8,27.416899661294494,25.54,0.5488269847628626,0.08045,0.1497,0.20865
2017-07-27 13:39:00,-13.363696,7.724097,0.0,0.30000000000000004,8.139999999999999,36.50081771807178,23.96,0.6938083503603232,0.077,0.1565,0.22210000000000002
2017-07-28 13:32:00,-14.953149,8.6339445,0.0,0.30000000000000004,8.24,34.90096778294082,24.359999999999996,0.6528979615517632,0.077,0.1565,0.22210000000000002
2017-08-08 13:39:00,-13.708965,7.926114,0.0,0.30000000000000004,8.64,29.327163461100064,24.759999999999998,0.6150083257420409,0.077,0.1565,0.22210000000000002
2017-08-09 13:32:00,-16.146095,9.344497,0.0,0.30000000000000004,8.28,34.28605239741925,24.419999999999998,0.6470287876929288,0.077,0.1565,0.22210000000000002
2017-08-20 13:39:00,-14.302719,8.276374,0.0,0.2,9.1,24.242496599434972,23.999999999999996,0.6895731603522699,0.03675,0.1111,0.14685
2017-08-21 13:32:00,-14.59687,8.529721,0.0,0.2,9.319999999999999,22.20728034944022,23.78,0.7132815645896026,0.03675,0.1111,0.14685
2017-09-01 13:39:00,-15.681323,9.057225,0.0,0.2,9.639999999999999,19.61907326744887,23.68,0.7244008939533519,0.03675,0.1111,0.14685
2017-09-02 13:32:00,-14.715504,8.592145,0.0,0.2,9.78,18.607716979893578,23.419999999999998,0.7543612601025317,0.03675,0.1111,0.14685
2017-09-13 13:39:00,-15.077744,8.715907,0.0,0.2,10.100000000000001,16.533590097205558,23.32,0.7663035578779662,0.03675,0.1111,0.14685
2017-09-14 13:32:00,-12.976059,7.5025625,0.0,0.2,10.1,16.533590097205572,23.48,0.7473094350487949,0.03675,0.1111,0.14685
2017-09-25 13:39:00,-10.859548,6.2903576,0.0,0.2,10.100000000000001,16.533590097205558,39.239999999999995,0.11345306773009951,0.0999,0.2261,0.31860000000000005
2017-10-07 13:39:00,-11.128148,6.4248724,0.0,0.1,9.74,18.889766973871033,38.92,0.11691492104274331,0.0999,0.2261,0.31860000000000005
2017-10-08 13:32:00,-17.844917,10.486622,0.0,0.1,9.86,18.059505745762,38.68,0.11959990683872591,0.0999,0.2261,0.31860000000000005
2017-10-19 13:39:00,-14.8962555,8.78908,0.0,0.2,9.7,19.17727941254576,37.64,0.13218452573431844,0.0999,0.2261,0.31860000000000005
2017-10-20 13:32:00,-13.490693,7.7928414,0.0,0.2,9.620000000000001,19.76921112083847,37.62,0.13244266346611364,0.0999,0.2261,0.31860000000000005
2017-11-01 13:32:00,-13.703811,7.911994,0.0,0.0,9.719999999999999,19.032832409670284,35.68000000000001,0.16085414764150874,0.0999,0.2261,0.31860000000000005
2017-11-13 13:32:00,-10.75116,6.208345,0.009921569098700204,0.1,9.319999999999999,22.20728034944022,38.04,0.12715361979439924,0.0999,0.2261,0.31860000000000005
2017-11-24 13:39:00,-12.446741,7.198305,0.0,0.2,9.36,21.860901516945813,39.260000000000005,0.11324105991831057,0.0999,0.2261,0.31860000000000005
2017-12-06 13:39:00,-14.603788,8.4976015,0.004960784549350102,0.0,9.38,21.690289443968627,36.96,0.14133317296145664,0.5092000000000001,0.5323,0.5260500000000001
2017-12-07 13:32:00,-13.444323,7.809351,0.0,0.0,9.54,20.384587770139326,36.739999999999995,0.1444646511561126,0.5092000000000001,0.5323,0.5260500000000001
2017-12-19 13:32:00,-12.07195,7.0260987,0.0,0.0,8.3,33.98376298121147,35.64,0.16151782459477285,0.5092000000000001,0.5323,0.5260500000000001
